Exchange,Symbol,Name,MarketCap,IPO,Sector,Industry
NYSE,GTES,Gates Industrial Corporation plc,4.58B,2018,Technology,Industrial Machinery/Components
NYSE,GATX,GATX Corporation,2.74B,N/A,Consumer Services,Transportation Services
NYSE,GMTA,GATX Corporation,N/A,2016,Consumer Services,Transportation Services
NYSE,GZT,Gazit-Globe Ltd.,1.79B,2011,Finance,Real Estate
NYSE,GCP,GCP Applied Technologies Inc.,2.24B,2016,Basic Industries,Major Chemicals
NYSE,GNK,Genco Shipping & Trading Limited ,637.81M,N/A,Transportation,Marine Transportation
NYSE,GNRT,Gener8 Maritime Inc.,513.76M,2015,Transportation,Marine Transportation
NYSE,GNRC,Generac Holdlings Inc.,3.13B,2010,Consumer Durables,Metal Fabrications
NYSE,GAM,General American Investors Inc.,915.28M,N/A,N/A,N/A
NYSE,GAM^B,General American Investors Inc.,N/A,N/A,N/A,N/A
NYSE,BGC,General Cable Corporation,1.51B,1997,Basic Industries,Telecommunications Equipment
NYSE,GD,General Dynamics Corporation,61.06B,N/A,Capital Goods,Marine Transportation
NYSE,GEK.CL,General Electric Capital Corporation,N/A,N/A,N/A,N/A
NYSE,GE,General Electric Company,123.16B,N/A,Energy,Consumer Electronics/Appliances
NYSE,GIS,General Mills Inc.,24.11B,N/A,Consumer Non-Durables,Packaged Foods
NYSE,GM,General Motors Company,53.35B,2010,Capital Goods,Auto Manufacturing
NYSE,GM.WS.B,General Motors Company,N/A,N/A,N/A,N/A
NYSE,GCO,Genesco Inc.,888.24M,N/A,Consumer Services,Clothing/Shoe/Accessory Stores
NYSE,GWR,Genesee & Wyoming Inc.,4.67B,N/A,Transportation,Railroads
NYSE,GEL,Genesis Energy,2.72B,1996,Energy,Oil Refining/Marketing
NYSE,GEN           ,Genesis Healthcare Inc.,338.03M,N/A,Health Care,Hospital/Nursing Management
NYSE,GNE,Genie Energy Ltd.,130.64M,2011,Public Utilities,Power Generation
NYSE,GNE^A,Genie Energy Ltd.,N/A,N/A,N/A,N/A
NYSE,G,Genpact Limited,5.81B,2007,Consumer Services,Professional Services
NYSE,GPC,Genuine Parts Company,13.37B,N/A,Capital Goods,Automotive Aftermarket
NYSE,GNW,Genworth Financial Inc,1.73B,2004,Finance,Life Insurance
NYSE,GEO,Geo Group Inc (The),3B,N/A,Consumer Services,Real Estate Investment Trusts
NYSE,GPRK,Geopark Ltd,972.74M,2014,Energy,Oil & Gas Production
NYSE,GPJA,Georgia Power Company,N/A,2017,Public Utilities,Electric Utilities: Central
NYSE,GGB,Gerdau S.A.,7.75B,N/A,Capital Goods,Steel/Iron Ore
NYSE,GTY,Getty Realty Corporation,1.01B,N/A,Finance,Real Estate
NYSE,GGP,GGP Inc.,19.67B,N/A,Consumer Services,Real Estate Investment Trusts
NYSE,GGP^A,GGP Inc.,N/A,N/A,Consumer Services,Real Estate Investment Trusts
NYSE,GIG,GigCapital Inc.,40.09M,2018,Finance,Business Services
NYSE,GIG.U,GigCapital Inc.,N/A,2017,N/A,N/A
NYSE,GIG.WS,GigCapital Inc.,N/A,N/A,N/A,N/A
NYSE,GIG~,GigCapital Inc.,N/A,N/A,N/A,N/A
NYSE,GIL,Gildan Activewear Inc.,6.27B,1998,Consumer Non-Durables,Apparel
NYSE,GLT,Glatfelter,760.79M,N/A,Basic Industries,Paper
NYSE,GKOS,Glaukos Corporation,1.22B,2015,Health Care,Medical/Dental Instruments
NYSE,GSK,GlaxoSmithKline PLC,99.63B,N/A,Health Care,Major Pharmaceuticals
NYSE,BRSS,Global Brass and Copper Holdings Inc.,705.81M,2013,Capital Goods,Metal Fabrications
NYSE,CO,Global Cord Blood Corporation,1.07B,N/A,Finance,Business Services
NYSE,GMRE,Global Medical REIT Inc.,187.32M,2016,Consumer Services,Real Estate Investment Trusts
NYSE,GMRE^A,Global Medical REIT Inc.,N/A,N/A,N/A,N/A
